goldcool, 450,4,
1,"天际孤帆愁别离","猜一字","穗",
2,"忧愁幽思作离骚","猜一七言唐诗","似诉平生不得志",
3,"老大意转拙","猜西药","稚儿灵",
4,"我自横刀向天笑","猜一成语","死而复生",
5,"千乘万骑西南行","猜一剧目名","司马别宫",
6,"秘密渗水老板缺德","猜中国地名一","澳门",
7,"脱我战时袍","猜体育用语一","女排阵容",
8,"溥仪前四十载义无可取","猜中药名一","薄荷",
9,"个中未与红丝系，虽咏关睢各一方","猜一字","鸿",
10,"白头宫女在","猜五言成诗句·卷帘","老至居人下",
11,"云随雁字悬","猜一字","会",
12,"巨源身后受推崇","猜《陋室铭》句","山不在高",
13,"身是菩提树，心如明镜台","猜五言唐诗一","造化钟神秀",
14,"那武二倒抽一口冷气","猜外影片一","步步惊心",
15,"撼山易，撼岳家军难","猜体育播音员","宋世雄",
16,"销魂最是双莲瓣","猜一成语","心满意足",
17,"双峰错落，无边风月","猜河南名胜","崤山",
18,"人生七十古来稀","猜一成语·卷帘","少年老成",
19,"六亿神州尽舜尧","猜《诗经》篇目一","皇皇者华",
20,"三明一直好天气","猜十二画字","晴",
21,"哭向六军抛女子，笑将一命救君王","猜体育项目连运动员","吊环李宁",
22,"帝国主义夹着尾巴逃跑了","猜一成语","美不胜收",
23,"三十六计何谓上","猜一句歌词","人才溜溜地好哟",
24,"“缚太急,乞缓之”","猜一作曲家","莫扎特",
25,"娇容如仙半掩面","猜一雷锋式先进人物","乔安山",
26,"严监生临终所指","猜一元宵节别称","灯节",
27,"秋后南宁又相见","猜一元宵节习俗","观灯",
28,"园中改变旧模样","猜一节日","元旦",
29,"“惊波四面起”","猜一春晚主持","周涛",
30,"抽刀断水白费劲","猜一汪峰歌曲","一切都会流走",
31,"村头几度人云集","猜一二字词汇","机会",
32,"改编一出《二进宫》","猜一字","喧",
33,"一再躲避","猜一佛教语","三藏",
34,"何以解忧","猜一饮品","杜康",
35,"别后一逢人月圆","猜一字","俞",
36,"酒尽点滴宾客归","猜一字","一",
37,"寻寻觅觅冷冷清清凄凄惨惨戚戚","猜一词牌名","字字双",
38,"报喜不报忧","猜一影视演员","陈好",
39,"转眼佳人已无踪","猜一字","罣",
40,"金口玉言","猜一方位字","皇上白",
41,"早退","猜一六字常用语","走在时间前面",
42,"粮草早断米也无","猜一字","莨",
43,"走自己的路","猜一冯巩影目","谁说我不在乎",
44,"每逢十五月分明","猜一水果","草莓",
45,"父母说儿子，不要吮手指","猜一九字口语","大人讲话小孩别插嘴",
46,"每逢清明泣坟前","猜一外诗人","海涅",
47,"光有风度无胸襟","猜一5字环保用语","空气质量差",
48,"前去就职者，大抵欠学识","猜一李煜词一句","往事知多少",
49,"绝大多数没骨气","猜一三字植物学名词","稀有种",
50,"临死方悟弃官印","猜一合同用语","最终解释权",
51,"看疯子耍戏法","猜一五字医学名词","视神经病变",
52,"风涛翻复拂天池","猜一地理词语","暴涨潮",
53,"马虎","猜一成语","千里同风",
54,"虚心参加比赛","猜一军队用语","空中战斗",
55,"三头六臂","猜一常用语","多面手",
56,"力主议和","猜一战争方式","阻击战",
57,"羽","猜一常用语","复习",
58,"为数虽少，却在百万之上","猜一字","一",
59,"东郊远树看如画","猜一字","邦",
60,"泪","猜一成语","颠三倒四",
61,"弃女","猜一成语","一掷千金",
62,"周转","猜一成语","无动于中",
63,"认祖归宗","猜一民族名","回族",
64,"洋为中用","猜一民族名","纳西",
65,"本地户口","猜一民族名","土家",
66,"公开课","猜一宗教名","明教",
67,"授课不虚假","猜一宗教名","全真教",
68,"满纸荒唐言","猜一宗教节日","弥撒",
69,"蓝天","猜一佛教语","色即是空",
70,"无息贷款","猜一佛教语","舍利",
71,"交","猜一现代历史事件","八一起义",
72,"药","猜一现代历史事件","双十协议",
73,"北风吹","猜一省名","云南",
74,"千里共婵娟","猜一歌名)","一样的月光",
75,"童星","猜一猜西游记人物","红孩儿",
76,"诗圣无恙","猜一商标名","杜康",
77,"犹如母子","猜一词牌","似娘儿",
78,"从早到晚说自己","猜一文学体裁","日记",
79,"出嫁仪式","猜一工具书","字典",
80,"卷我屋上三重茅","猜一成语","风吹草动",
81,"月落日出雁阵业","猜一字","胭",
82,"新婚度蜜月，中秋游异邦","猜一成语","喜出望外",
83,"天黑之前闲不着","猜三字常用语","白忙活",
84,"引起公愤","猜四字常言","群而攻之",
85,"枪杆子，笔杆子，革命就靠这两杆子","猜一成语","双管齐下",
86,"九死一生","猜一金融名词","存单",
87,"说话和气","猜体育名词一","柔道",
88,"站了两天","猜一字","暗",
89,"雨过山横翠","猜饮料商标一","雪碧",
90,"借问酒家何处有","猜中医术语","童便作引",
91,"桨尾点点鲈鱼游","猜一教练","米卢",
92,"匠心独运补残篇","猜一物","匾",
93,"明月松间照","猜摄影名词","黑白显影",
94,"留取丹心照汗青","猜四字称谓","名誉会长",
95,"东张西望缘何事？","猜六字常用语谜底","两方面看问题",
96,"儿童溜冰冠军","猜一常用词","小滑头",
97,"再掀昔日红学热","猜一成语","重温旧梦",
98,"今世孔夫子","猜古文篇名","后出师表",
99,"此路不通！","猜一猜一成语","令行禁止",
100,"八面透风","猜一六字俗语","气不打一出来",
101,"彼此各有一半","猜一字","跛",
102,"童年时光已忘怀","猜七字口语","大人不记小人过",
103,"个","猜七字术语","给人抓住了把柄",
104,"游子身上衣","猜五字口语一","别来这一套",
105,"夜夜看落花","猜一礼貌用语","不用谢",
106,"同心改革为祖国","猜一字","中",
107,"一弯月照枝头亮，两颗星悬天下明","猜一字","秋",
108,"心已决断不宜迟","猜一字","快",
109,"休把旁人抬太高","猜一字","乐",
110,"十五的月亮","猜一成语","正大光明",
111,"一轮明月挂中天","猜股票术语","高位盘整",
112,"敢上九天揽月","猜汽车名牌","凌志",
113,"得月楼前先得月","猜一字","棚",
114,"云破眉月倚西楼","猜一字","私",
115,"九月初三月似弓","猜饮料","珍珠露",
116,"双泪落君前","猜一字","只",
117,"重逢","猜一字","观",
118,"中秋过后又重阳","猜郑板桥诗句一","一节又一节",
119,"大漠孤烟直，长河落日圆","猜一成语","风平浪静",
120,"推开又来","猜一字","摊",
121,"善飞者必飞珠峰","猜一句唐诗","会当凌绝顶",
122,"东征西讨","猜一字","证",
123,"北京午夜","猜一动物","燕子",
124,"卷帘人道雨过天晴","猜一七字常言","打开天窗说亮话",
125,"庄生晓梦相迷，望帝春心","猜一词牌名","蝶恋花",
126,"渔","猜一成语","如鱼得水",
127,"引起公愤","猜四字常言","人人有责",
128,"请坐说话","猜一法律词","免予起诉",
129,"鑫","猜一外国古迹","金字塔",
130,"人人让座","猜一字","庄",
131,"西南地区发展缓慢","猜一公路","东北高速",
132,"我的初吻","猜一字","哦",
133,"恭贺新禧","猜一画家名","祝大年",
134,"心存怨气问莫答","猜宋词一句","不应有恨",
135,"大陆亲人盼团聚","猜一几何名词","同心圆",
136,"天涯任我行","猜三字电信名词","全球通",
137,"迷途无人帮","猜一成语","失道寡助",
138,"二话不说","猜无线电名词","单声道",
139,"粒粒皆辛苦","猜三字粮食品种","珍珠米",
140,"上了年纪话题多","猜一成语","老生常谈",
141,"来往不逢人","猜二字法律用语","走私",
142,"妄言国事遭杀祸","猜一成语","民不聊生",
143,"三月单相思，茶饭都不吃","猜张楚歌词一句","这是一个恋爱的季节",
144,"鸿门宴项伯拔剑","猜四字股市太语","与庄共舞",
145,"月当窗","猜奥运奖牌得主一","田亮",
146,"东坡交友广","猜演员一","苏有朋",
