goldcool, 42, 3 
25266,"Body Part£ºHead",0,
25232,"Body Part£ºHead",0,
25095,"Body Part£ºWaist",0,
25324,"Body Part£ºWaist",0,
25264,"Body Part£ºWaist",2,
25265,"Body Part£ºShoulder",1,
25267,"Body Part£ºHand",2,
25268,"Body Part£ºBrest",1,
25269,"Body Part£ºHand",3,
25230,"Body Part£ºBrest",2,
25231,"Body Part£ºHand",1,
25233,"Body Part£ºBrest",2,
25234,"Body Part£ºHand",1,
25235,"Body Part£ºBrest",3,
25094,"Body Part£ºFeet",1,
25096,"Body Part£ºLeg",2,
25097,"Body Part£ºFeet",1,
25098,"Body Part£ºLeg",3,
25322,"Body Part£ºLeg",3,
25323,"Body Part£ºLeg",1,
25325,"Body Part£ºHead",2,
25326,"Body Part£ºHead",1,
25070,"Body Part£ºFeet",2,
25071,"Body Part£ºHand",1,
25072,"Body Part£ºHead",0,
25073,"Body Part£ºLeg",2,
25074,"Body Part£ºBrest",1,
636,"Body Part£ºFeet",2,
25112,"Body Part£ºHand",1,
25113,"Body Part£ºHead",0,
25114,"Body Part£ºLeg",2,
25115,"Body Part£ºBrest",1,
25184,"Body Part£ºFeet",2,
25185,"Body Part£ºHand",1,
25186,"Body Part£ºHead",0,
25187,"Body Part£ºLeg",2,
25188,"Body Part£ºBrest",1,
25276,"Body Part£ºHand",1,
25277,"Body Part£ºHead",0,
25278,"Body Part£ºLeg",2,
25279,"Body Part£ºBrest",1,
25280,"Body Part£ºWaist", 3 

