goldcool, 101, 3 
0,1,1,
1,20,2,
2,20,2,
3,25,2,
4,30,2,
5,35,3,
6,40,3,
7,45,4,
8,50,4,
9,55,5,
10,60,5,
11,70,6,
12,80,6,
13,90,7,
14,100,7,
15,110,7,
16,120,8,
17,130,8,
18,140,9,
19,150,9,
20,160,10,
21,170,10,
22,180,11,
23,200,11,
24,220,11,
25,240,12,
26,260,12,
27,280,13,
28,300,13,
29,310,14,
30,320,14,
31,330,15,
32,340,15,
33,350,16,
34,360,16,
35,370,16,
36,380,17,
37,390,17,
38,400,18,
39,410,18,
40,420,19,
41,440,19,
42,460,20,
43,480,20,
44,500,20,
45,520,22,
46,540,24,
47,560,26,
48,580,28,
49,600,30,
50,620,32,
51,650,34,
52,680,36,
53,710,38,
54,740,40,
55,770,42,
56,800,44,
57,830,46,
58,860,48,
59,890,50,
60,920,52,
61,950,54,
62,980,56,
63,1010,58,
64,1040,60,
65,1070,62,
66,1100,64,
67,1130,66,
68,1160,68,
69,1190,70,
70,1220,72,
71,1300,80,
72,1300,85,
73,1300,90,
74,1350,95,
75,1350,100,
76,1350,105,
77,1400,110,
78,1400,115,
79,1400,120,
80,1450,125,
81,1450,130,
82,1450,135,
83,1500,140,
84,1500,145,
85,1500,150,
86,1550,155,
87,1550,160,
88,1550,165,
89,1600,170,
90,1600,175,
91,1600,180,
92,1650,185,
93,1650,190,
94,1650,195,
95,1700,200,
96,1700,205,
97,1700,210,
98,1750,215,
99,1750,220,
100,1750, 225 

