goldcool, 12,11,
0,"M&M Type",940,940,1050,1030,1000,1040,1000,950,1040,
1,"D&H Type",1000,1050,940,1000,940,950,1000,1050,1000,
2,"A&H Type",1050,1000,1000,960,1030,1000,1000,1000,950,
3,"AP&M Type",960,960,1000,1000,1000,1000,1050,940,1030,
4,"A&M Type",1040,1000,1040,1040,960,940,940,1000,940,
5,"MDEF Type",1000,950,1030,1050,1000,1000,1000,1000,1000,
6,"H&AP Type",1000,1040,950,1000,1000,1000,1030,1030,1000,
7,"Avg Type",1000,1000,1000,1000,1000,1030,1000,1000,1000,
8,"D&AP Type",1000,1000,1000,940,1000,1050,1040,1000,960,
9,"H&M Type",950,960,1000,1000,960,1000,1000,1050,1050,
10,"AP&A Type",1030,1000,1000,950,1000,1000,1040,1000,1000,
11,"A&D Type",1040,1030,960,1000,950,960,950,960, 1000 

